company,Company_Status,location,location_Status,industry,Industry_Status,total_laid_off,layoffs_Status,percentage_laid_off,Percentage_Status,date,Date_Status,year,Year_Status,Month,Month_Status,stage,country,funds_raised_millions,Funds_Status
APPLYBOARD,Reported,WATERLOO,Reported,EDUCATION,Reported,90,Reported,0.06,Reported,28/11/2022,Reported,2022,Reported,11,Reported,SERIES D,CANADA,483,Reported
AQGROMALIN,Reported,CHENNAI,Reported,FOOD,Reported,80,Reported,0.3,Reported,20/06/2022,Reported,2022,Reported,6,Reported,UNKNOWN,INDIA,12,Reported
AQUA SECURITY,Reported,BOSTON,Reported,SECURITY,Reported,65,Reported,0.1,Reported,05/12/2022,Reported,2022,Reported,12,Reported,SERIES E,UNITED STATES,265,Reported
AQUA SECURITY,Reported,TEL AVIV,Reported,SECURITY,Reported,24,Reported,0.09,Reported,01/04/2020,Reported,2020,Reported,4,Reported,SERIES C,ISRAEL,100,Reported
ARC,Reported,SF BAY AREA,Reported,HR,Reported,13,Reported,0,missing,20/07/2022,Reported,2022,Reported,7,Reported,SEED,UNITED STATES,1,Reported
ARCH ONCOLOGY,Reported,BRISBANE,Reported,HEALTHCARE,Reported,0,missing,1,Reported,13/01/2023,Reported,2023,Reported,1,Reported,SERIES C,UNITED STATES,155,Reported
ARCH ONCOLOGY,Reported,ST. LOUIS,Reported,HEALTHCARE,Reported,0,missing,0,missing,22/02/2023,Reported,2023,Reported,2,Reported,SERIES C,UNITED STATES,155,Reported
ARETE,Reported,MIAMI,Reported,SECURITY,Reported,0,missing,0,missing,22/07/2022,Reported,2022,Reported,7,Reported,UNKNOWN,UNITED STATES,0,missing
ARGO AI,Reported,MUNICH,Reported,TRANSPORTATION,Reported,100,Reported,0,missing,29/06/2020,Reported,2020,Reported,6,Reported,UNKNOWN,GERMANY,3600,Reported
ARGO AI,Reported,PITTSBURGH,Reported,TRANSPORTATION,Reported,150,Reported,0.05,Reported,07/07/2022,Reported,2022,Reported,7,Reported,UNKNOWN,UNITED STATES,3600,Reported
ARGO AI,Reported,PITTSBURGH,Reported,TRANSPORTATION,Reported,173,Reported,0,missing,26/10/2022,Reported,2022,Reported,10,Reported,UNKNOWN,UNITED STATES,3600,Reported
